Designator,Mid X,Mid Y,Rotation,Layer
D1,165.8075,-43.18,270.0,bottom
D10,222.9575,-62.23,270.0,bottom
D11,242.0075,-62.23,270.0,bottom
D12,261.0575,-62.23,270.0,bottom
D13,165.8075,-81.28,270.0,bottom
D14,184.8575,-81.28,270.0,bottom
D15,203.9075,-81.28,270.0,bottom
D16,222.9575,-81.28,270.0,bottom
D17,242.0075,-81.28,270.0,bottom
D18,261.0575,-81.28,270.0,bottom
D2,184.8575,-43.18,270.0,bottom
D3,203.9075,-43.18,270.0,bottom
D4,222.9575,-43.18,270.0,bottom
D5,242.0075,-43.18,270.0,bottom
D6,261.0575,-43.18,270.0,bottom
D7,165.8075,-62.23,270.0,bottom
D8,184.8575,-62.23,270.0,bottom
D9,203.9075,-62.23,270.0,bottom
S1,168.91,-43.18,180.0,top
S10,226.06,-62.23,180.0,top
S11,245.11,-62.23,180.0,top
S12,264.16,-62.23,180.0,top
S13,168.91,-81.28,180.0,top
S14,187.96,-81.28,180.0,top
S15,207.01,-81.28,180.0,top
S16,226.06,-81.28,180.0,top
S17,245.11,-81.28,180.0,top
S18,264.16,-81.28,180.0,top
S2,187.96,-43.18,180.0,top
S3,207.01,-43.18,180.0,top
S4,226.06,-43.18,180.0,top
S5,245.11,-43.18,180.0,top
S6,264.16,-43.18,180.0,top
S7,168.91,-62.23,180.0,top
S8,187.96,-62.23,180.0,top
S9,207.01,-62.23,180.0,top
